电影名称,电影片长,上映时间,导演,评分
憨豆先生精选辑 The Best Bits of Mr. Bean,['72分钟'],['1997'],"['约翰·伯金', '约翰·霍华德·戴维斯']",9.6
美丽人生 La vita è bella,['116分钟'],"['2020-01-03(中国大陆)', '1997-12-20(意大利)']",['罗伯托·贝尼尼'],9.5
福尔摩斯二世 Sherlock Jr.,['45分钟'],['1924-04-21(美国)'],['巴斯特·基顿'],9.5
黄子华栋笃笑之金盆?口 黄子华栋笃笑之金盆啷口,['160分钟'],['2018-07-06(中国香港)'],['黄子华'],9.5
极品基老伴：完结篇 Vicious Series Finale,['47分钟'],"['2016-06-19(美国)', '2016-12-16(英国)']",['埃德·拜'],9.4
拽妹黛薇儿要上大学了没 Daria: Is it College Yet?,['90分钟'],['2002-01-21'],['Karen Disher'],9.4
放牛班的春天 Les choristes,['97分钟'],"['2004-10-16(中国大陆)', '2021(中国大陆重映)', '2004-03-17(法国)']",['克里斯托夫·巴拉蒂'],9.3
触不可及 Intouchables,['112分钟'],['2011-11-02(法国)'],"['奥利维埃·纳卡什', '埃里克·托莱达诺']",9.3
鬼子来了,['139分钟'],"['2000-05-12(戛纳电影节)', '2002-04-27(日本)']",['姜文'],9.3
摩登时代 Modern Times,['87分钟'],['1936-02-25(美国)'],['查理·卓别林'],9.3
城市之光 City Lights,['87 分钟'],"['1931-01-30(洛杉矶首映)', '1931-03-07(美国)']",['查理·卓别林'],9.3
狐妖小红娘剧场版：王权富贵,['160分钟'],['2016-05-20(中国大陆)'],['王昕'],9.3
丹尼尔·斯洛斯：现场表演 Daniel Sloss: Live Shows,['118分钟（两集）'],['2018-09-11(美国)'],[],9.3
西蒙·阿姆斯特尔：顺其自然 Simon Amstell: Do Nothing,['60分钟'],[],['Michael Matheson'],9.3
跳出我天地音乐剧 Billy Elliot the Musical,['169分钟'],['2014-09-28'],['史蒂芬·戴德利'],9.3
三傻大闹宝莱坞 3 Idiots,['171分钟(印度)'],"['2011-12-08(中国大陆)', '2009-12-25(印度)']",['拉吉库马尔·希拉尼'],9.2
疯狂动物城 Zootopia,['109分钟(中国大陆)'],"['2016-03-04(中国大陆/美国)', '2020-07-24(中国大陆重映)']","['拜伦·霍华德', '瑞奇·摩尔', '杰拉德·布什']",9.2
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,['95分钟'],"['2014-10-24(中国大陆)', '2017-04-13(中国大陆重映)', '1995-02-04(中国香港)']",['刘镇伟'],9.2
淘金记 The Gold Rush,['95分钟(默片版)'],['1925-06-26(美国)'],['查理·卓别林'],9.2
寻子遇仙记 The Kid,['68分钟'],['1921-02-06(美国)'],['查理·卓别林'],9.2
你逃我也逃 To Be or Not to Be,['99 分钟'],['1942-03-06'],['恩斯特·刘别谦'],9.2
马戏团 The Circus,['71分钟'],['1928-01-06(美国)'],['查理·卓别林'],9.2
"欢乐树的朋友们：第二发球 Happy Tree Friends, Volume 2: Second Serving",['60分钟'],['2003'],"['Rhode Montijo', 'Kenn Navarro']",9.2
"欢乐树的朋友们：第三击 Happy Tree Friends, Volume 3: Third Strike",['135分钟'],['2004-08-01'],"['Rhode Montijo', 'Kenn Navarro']",9.2
迪兰·莫兰：脱身 Dylan Moran: Off the Hook,['75分钟'],['2015-11-30'],['John Gordillo'],9.2
乔治·卡林：你们都有病 George Carlin: You Are All Diseased,['65分钟'],['1999'],['Rocco Urbisci'],9.2
怦然心动 Flipped,['90分钟'],"['2010-07-26(好莱坞首映)', '2010-09-10(美国)']",['罗伯·莱纳'],9.1
寻梦环游记 Coco,['105分钟'],"['2017-11-24(中国大陆)', '2020-07-20(中国大陆重映)', '2017-11-22(美国)']","['李·昂克里奇', '阿德里安·莫利纳']",9.1
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",['107分钟'],['1998-08-28(英国)'],['盖·里奇'],9.1
大独裁者 The Great Dictator,['125 分钟'],['1940-10-15'],['查理·卓别林'],9.1
将军号 The General,['67分钟'],"['1926-12-25(美国首映)', '1927-01-02(美国)']","['巴斯特·基顿', '克莱德·布鲁克曼']",9.1
流浪者之歌 Дом за веша?е,['142分钟'],['1988-12-21'],['埃米尔·库斯图里卡'],9.1
欢乐树的朋友们 Happy Tree Friends,['74 分钟'],['2006-05-03'],"['Rhode Montijo', 'Kenn Navarro']",9.1
欢乐树的朋友们：赶尽杀绝 Happy Tree Friends: Overkill,['84分钟'],['2005-11-28'],"['Alan Lau', 'Kenn Navarro']",9.1
欢乐树的朋友们：滑雪巡逻救生队 Happy Tree Friends: Ski Patrol,['74分钟'],['2006-04-12'],['Jason Sadler'],9.1
迪兰·莫兰：是什么？ Dylan Moran Live: What It Is,['UK: 77 分钟'],['2009'],['Randall Churchill'],9.1
我不是药神,['117分钟'],"['2018-07-05(中国大陆)', '2018-06-30(大规模点映)']",['文牧野'],9
飞屋环游记 Up,['96分钟'],"['2009-08-04(中国大陆)', '2009-05-13(戛纳电影节)', '2009-05-29(美国)']","['彼特·道格特', '鲍勃·彼德森']",9
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,['87分钟'],"['2014-10-24(中国大陆)', '1995-01-21(中国香港)']",['刘镇伟'],9
罗马假日 Roman Holiday,['118分钟'],"['1953-08-20(威尼斯电影节)', '1953-09-02(美国)']",['威廉·惠勒'],9
雨中曲 Singin&#39; in the Rain,['103分钟'],['1952-04-11(美国)'],"['斯坦利·多南', '吉恩·凯利']",9
东京教父 東京ゴッドファーザーズ,['92分钟'],['2003-11-08(日本)'],['今敏'],9
西力传 Zelig,['79分钟'],['1983-07-15'],['伍迪·艾伦'],9
欢乐树的朋友们：第一滴血 Happy Tree Friends: Volume 1: First Blood,['USA: 110 分钟'],['2002-02-18'],"['Rhode Montijo', 'Kenn Navarro']",9
木更津猫眼 世界系列 木更津キャッツアイ ワールドシリーズ,['131分钟'],['2006-10-28'],['金子文纪'],9
阿德曼动画精选：超级无敌掌门狗 Wallace &amp; Gromit: The Best of Aardman Animation,['75分钟'],['1996-06-14(美国)'],['尼克·帕克'],9
小不列颠：现场版 Little Britain: Live,['79 分钟'],['2006-11-13'],['Geoff Posner'],9
日本之形 日本の形,['Japan: 60 分钟'],['2007-02-10'],['NAMIKIBASHI'],9
克里斯·洛克：无所畏惧 Chris Rock: Never Scared,['90分钟'],['2004-04-17(美国)'],['Joel Gallen'],9
让子弹飞,['132分钟'],['2010-12-16(中国大陆)'],['姜文'],8.9
绿皮书 Green Book,['130分钟'],"['2019-03-01(中国大陆)', '2018-09-11(多伦多电影节)', '2018-11-16(美国)']",['彼得·法雷里'],8.9
布达佩斯大饭店 The Grand Budapest Hotel,['99分钟'],"['2014-02-06(柏林电影节)', '2014-03-28(美国)']",['韦斯·安德森'],8.9
低俗小说 Pulp Fiction,['154分钟'],"['1994-05-12(戛纳电影节)', '1994-10-14(美国)']",['昆汀·塔伦蒂诺'],8.9
7号房的礼物 7??? ??,['127分钟'],['2013-01-23(韩国)'],['李焕庆'],8.9
玩具总动员3 Toy Story 3,['103分钟'],"['2010-06-16(中国大陆)', '2010-06-18(美国)']",['李·昂克里奇'],8.9
玛丽和马克思 Mary and Max,['92分钟'],"['2009-01-15(圣丹斯电影节)', '2009-04-09(澳大利亚)']",['亚当·艾略特'],8.9
喜宴 囍宴,['108分钟'],"['1993-02(柏林电影节)', '1993-08-04(美国)']",['李安'],8.9
虎口脱险 La grande vadrouille,['132分钟'],['1966-12-08(法国)'],['热拉尔·乌里'],8.9
芝加哥 Chicago,['113 分钟'],['2002-12-27(美国)'],['罗伯·马歇尔'],8.9
热情如火 Some Like It Hot,['120 分钟'],['1959-03-29'],['比利·怀德'],8.9
心理游戏 マインド?ゲーム,['103 分钟'],['2004-08-07(日本)'],['汤浅政明'],8.9
"玉女风流 One, Two, Three",['115分钟'],['1961-12-16(美国)'],['比利·怀德'],8.9
黄色潜水艇 Yellow Submarine,['90分钟'],"['1968-07-17(英国)', '2018-07-08(美国重映)']",['乔治·杜宁'],8.9
七次机会 Seven Chances,['56分钟'],['1925-03-11'],['巴斯特·基顿'],8.9
安全至下 Safety Last!,['74分钟'],['1923-04-01'],"['弗雷德·C·纽迈尔', '山姆·泰勒']",8.9
魔法阿妈 魔法阿嬷,['80分钟'],['1998-04-03(中国台湾)'],['王小棣'],8.9
从军记 Shoulder Arms,['36分钟'],"['1918-10-20(美国点映)', '1918-10-27(美国)']",['查理·卓别林'],8.9
我出生了，但…… 大人の見る絵本 生れてはみたけれど,['100 分钟'],['1932-06-03(日本)'],['小津安二郎'],8.9
阿曼动画之超级无敌掌门狗系列1 Wallace &amp; Gromit: The Aardman Collection,[],['1995-06-15'],"['尼克·帕克', '彼得·洛德', 'Richard Goleszowski']",8.9
同性三分亲 Torch Song Trilogy,['120 分钟'],['1988-12-14'],['保罗·博加特'],8.9
寄生虫 ???,['132分钟'],"['2019-05-21(戛纳电影节)', '2019-05-30(韩国)']",['奉俊昊'],8.8
喜剧之王 喜劇之王,['89分钟'],['1999-02-13(中国香港)'],"['周星驰', '李力持']",8.8
阳光姐妹淘 ??,['124分钟'],['2011-05-04(韩国)'],['姜炯哲'],8.8
时空恋旅人 About Time,['123分钟'],['2013-09-04(英国)'],['理查德·柯蒂斯'],8.8
菊次郎的夏天 菊次郎の夏,['121分钟'],"['2020-09-25(中国大陆)', '1999-05-20(戛纳电影节)', '1999-06-05(日本)']",['北野武'],8.8
幸福终点站 The Terminal,['128分钟'],"['2005-01-14(中国大陆)', '2004-06-18(美国)']",['史蒂文·斯皮尔伯格'],8.8
荒蛮故事 Relatos salvajes,['122分钟'],"['2014-05-17(戛纳电影节)', '2014-08-21(阿根廷)']",['达米安·斯兹弗隆'],8.8
纵横四海 緃横四海,['108分钟'],['1991-02-02(中国香港)'],['吴宇森'],8.8
坠入 The Fall,['117分钟'],"['2006-09-09(多伦多电影节)', '2008-05-30(美国)']",['塔西姆·辛'],8.8
我能说 ?? ? ???,['119分钟'],['2017-09-21(韩国)'],['金炫锡'],8.8
奇爱博士 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,['95 分钟'],['1964-01-29(美国)'],['斯坦利·库布里克'],8.8
