标题,日期,阅读次数,正文
江西省人民政府关于印发江西省“十四五”农业农村现代化规划的通知,2022/02/22,None,None
甘肃率先印发施行《关于促进乡村生态振兴的实施意见》,2022/02/08,None,None
重庆市巩固拓展脱贫攻坚成果同乡村振兴有效衔接“十四五”规划出炉,2022/01/20,None,None
吉林省乡村振兴促进条例,2021/12/14,None,None
国务院印发《关于支持北京城市副中心高质量发展的意见》,2021/11/26,None,None
中共福建省委福建省人民政府印发《关于实现巩固拓展脱贫攻坚成果同乡村振兴...,2021/10/08,None,None
破解乡村引才引智难题全力打造乡村振兴主力军——重庆人力社保局解读乡村人...,2021/09/10,None,None
湖南省人民政府办公厅关于加强村庄规划工作服务全面推进乡村振兴的通知,2021/08/02,None,None
河南省财政厅河南省乡村振兴局关于切实做好应对洪涝灾害巩固拓展脱贫攻坚成...,2021/08/02,None,None
《上海市乡村振兴“十四五”规划》印发,2021/08/02,None,None
重庆出台五条就业扶贫新政策,2018/11/20,None,None
江西省人民政府关于印发江西省脱贫攻坚工程项目“绿色通道”实施方案的通知,2017/07/13,None,None
宁夏回族自治区“十三五”脱贫攻坚规划,2017/04/05,None,None
安徽省出台“十三五”脱贫攻坚规划,2017/02/03,None,None
四川省发布脱贫攻坚责任制实施细则,2017/01/16,None,None
四川省“十三五”脱贫攻坚规划正式出台,2017/01/12,None,None
河北省印发《河北省市级党委和政府扶贫开发工作成效考核办法》,2017/01/11,None,None
黑龙江：关于建立贫困退出机制的实施意见,2016/09/19,None,None
安徽省建立扶贫对象退出机制,2016/09/19,None,None
黑龙江省农村扶贫开发条例,2016/08/04,None,None
安徽省发布脱贫攻坚相关通知,2016/02/23,None,None
中共黑龙江省委黑龙江省人民政府关于打赢脱贫攻坚战的实施意见,2016/01/15,None,None
内蒙古自治区党委自治区人民政府贯彻落实《中共中央、国务院关于打赢脱贫...,2015/12/23,None,None
中共安徽省委安徽省人民政府关于坚决打赢脱贫攻坚战的决定,2015/12/22,None,None
湖南省农村扶贫开发条例,2015/12/21,None,None
广西壮族自治区扶贫开发条例,2015/11/23,None,None
广东省农村扶贫开发条例,2015/11/23,None,None
重庆市农村扶贫条例,2015/11/23,None,None
云南省农村扶贫开发条例,2015/11/23,None,None
黑龙江省农村扶贫开发条例,2015/11/23,None,None
甘肃省农村扶贫开发条例,2015/11/23,None,None
四川省农村扶贫开发条例,2015/11/23,None,None
陕西省农村扶贫开发条例,2015/11/23,None,None
江苏省农村扶贫开发条例,2015/11/23,None,None
青海省农村牧区扶贫开发条例,2015/11/23,None,None
湖北省农村扶贫条例,2015/11/23,None,None
贵州省扶贫开发条例,2015/11/23,None,None
湖北省委省政府：关于全力推进精准扶贫精准脱贫的决定,2015/09/29,None,None
辽宁抚顺：《驻村扶贫工作考核办法》出台,2015/09/02,None,None
山西：易地扶贫搬迁审批下放至县,2015/09/02,None,None
《青海省农村牧区扶贫开发条例》从9月1日起正式实施,2015/09/01,None,None
宁夏人大常委会征求扶贫立法意见,2015/07/16,None,None
四川省扶贫开发工作驶入法治化时代,2015/06/01,None,None
四川出台农村扶贫开发条例扶贫开发驶入法治化轨道,2015/04/14,None,None
《四川省农村扶贫开发条例（草案）》提请三审,2015/03/31,None,None
四川：四川拟制定扶贫对象考核退出动态管理办法,2014/11/24,None,None
黑龙江省结合实际对《关于创新机制扎实推进农村扶贫开发工作的意见》进行解...,2014/02/27,None,None
甘肃出台就业民生扶贫攻坚重要举措,2013/12/16,None,None
贵州立法规范扶贫开发项目和资金管理,2013/02/19,None,None
内蒙古自治区农村牧区扶贫开发条例,2012/12/04,None,None
湖北省委办公厅省政府办公厅下发《关于开展2011年度地方党政主要负责同...,2012/05/06,None,None
湖北省委办公厅省政府办公厅下发关于调整完善《湖北省地方党政主要负责同志...,2012/05/06,None,None
与全国基本同步实现全面小康——解读《湖南省武陵山片区区域发展与扶贫攻坚实...,2012/04/28,None,None
陕西省出台《陕西省移民搬迁安置税费优惠政策》,2012/04/27,None,None
陕西省农村扶贫开发条例,2012/02/07,None,None
